Bloque,IPs Muestra,Resultado,zen.spamhaus.org,Total Listas
185.220.101.0/24,185.220.101.212,AUDITORIA,1,1
185.220.101.0/24,185.220.101.213,AUDITORIA,1,1
185.220.101.0/24,185.220.101.214,AUDITORIA,1,1
185.220.101.0/24,185.220.101.215,AUDITORIA,1,1
185.220.101.0/24,185.220.101.216,AUDITORIA,1,1
185.220.101.0/24,185.220.101.217,AUDITORIA,1,1
185.220.101.0/24,185.220.101.218,AUDITORIA,1,1
185.220.101.0/24,185.220.101.219,AUDITORIA,1,1
185.220.101.0/24,185.220.101.220,AUDITORIA,1,1
185.220.101.0/24,185.220.101.221,AUDITORIA,1,1
185.220.101.0/24,185.220.101.222,AUDITORIA,1,1
185.220.101.0/24,185.220.101.223,AUDITORIA,1,1
185.220.101.0/24,185.220.101.224,AUDITORIA,1,1
185.220.101.0/24,185.220.101.225,AUDITORIA,1,1
185.220.101.0/24,185.220.101.226,AUDITORIA,1,1
185.220.101.0/24,185.220.101.227,AUDITORIA,1,1
185.220.101.0/24,185.220.101.228,AUDITORIA,1,1
185.220.101.0/24,185.220.101.229,AUDITORIA,1,1
185.220.101.0/24,185.220.101.231,AUDITORIA,1,1
185.220.101.0/24,185.220.101.232,AUDITORIA,1,1
185.220.101.0/24,185.220.101.233,AUDITORIA,1,1
185.220.101.0/24,185.220.101.234,AUDITORIA,1,1
185.220.101.0/24,185.220.101.236,AUDITORIA,1,1
185.220.101.0/24,185.220.101.237,AUDITORIA,1,1
185.220.101.0/24,185.220.101.238,AUDITORIA,1,1
185.220.101.0/24,185.220.101.239,AUDITORIA,1,1
185.220.101.0/24,185.220.101.240,AUDITORIA,1,1
185.220.101.0/24,185.220.101.241,AUDITORIA,1,1
185.220.101.0/24,185.220.101.242,AUDITORIA,1,1
185.220.101.0/24,185.220.101.243,AUDITORIA,1,1
185.220.101.0/24,185.220.101.244,AUDITORIA,1,1
185.220.101.0/24,185.220.101.245,AUDITORIA,1,1
185.220.101.0/24,185.220.101.246,AUDITORIA,1,1
185.220.101.0/24,185.220.101.247,AUDITORIA,1,1
185.220.101.0/24,185.220.101.248,AUDITORIA,1,1
185.220.101.0/24,185.220.101.249,AUDITORIA,1,1
185.220.101.0/24,185.220.101.250,AUDITORIA,1,1
185.220.101.0/24,185.220.101.251,AUDITORIA,1,1
185.220.101.0/24,185.220.101.252,AUDITORIA,1,1
185.220.102.0/24,185.220.102.1| 185.220.102.59| 185.220.102.139| 185.220.102.131| 185.220.102.91| 185.220.102.86| 185.220.102.22| 185.220.102.203| 185.220.102.4| 185.220.102.130| 185.220.102.95| 185.220.102.129| 185.220.102.69| 185.220.102.70| 185.220.102.254,BLOQUEO,,15
185.220.103.0/24,185.220.103.1| 185.220.103.175| 185.220.103.36| 185.220.103.44| 185.220.103.244| 185.220.103.142| 185.220.103.130| 185.220.103.50| 185.220.103.213| 185.220.103.184| 185.220.103.224| 185.220.103.65| 185.220.103.140| 185.220.103.158| 185.220.103.254,BLOQUEO,,15
185.220.104.0/24,185.220.104.1| 185.220.104.246| 185.220.104.36| 185.220.104.191| 185.220.104.82| 185.220.104.182| 185.220.104.228| 185.220.104.49| 185.220.104.147| 185.220.104.89| 185.220.104.136| 185.220.104.130| 185.220.104.151| 185.220.104.164| 185.220.104.254,LIMPIO,,0
185.220.105.0/24,185.220.105.1| 185.220.105.67| 185.220.105.48| 185.220.105.22| 185.220.105.32| 185.220.105.163| 185.220.105.83| 185.220.105.232| 185.220.105.221| 185.220.105.123| 185.220.105.115| 185.220.105.210| 185.220.105.241| 185.220.105.160| 185.220.105.254,LIMPIO,,0
185.220.106.0/24,185.220.106.1| 185.220.106.69| 185.220.106.253| 185.220.106.239| 185.220.106.111| 185.220.106.68| 185.220.106.235| 185.220.106.194| 185.220.106.89| 185.220.106.115| 185.220.106.92| 185.220.106.14| 185.220.106.213| 185.220.106.11| 185.220.106.254,LIMPIO,,0
185.220.107.0/24,185.220.107.1| 185.220.107.8| 185.220.107.48| 185.220.107.181| 185.220.107.129| 185.220.107.222| 185.220.107.171| 185.220.107.180| 185.220.107.249| 185.220.107.166| 185.220.107.190| 185.220.107.211| 185.220.107.250| 185.220.107.21| 185.220.107.254,LIMPIO,,0
185.220.108.0/24,185.220.108.1| 185.220.108.139| 185.220.108.2| 185.220.108.163| 185.220.108.5| 185.220.108.40| 185.220.108.249| 185.220.108.99| 185.220.108.71| 185.220.108.156| 185.220.108.138| 185.220.108.230| 185.220.108.126| 185.220.108.26| 185.220.108.254,LIMPIO,,0
